username,full_name,has_profile_pic,followers,following,post_count,follow_ratio,bio,bio_length,contains_link,suspicious_keywords_present,hashtags_count,mentions_count,emoji_in_bio,external_url,is_verified,digit_count_in_username,label
aazain.siddiqui,Aazain Siddiqui❕,True,422,631,3,0.67,"living like i should. 🪐
 
@_thejerseyquest_",43,False,False,0,1,True,,False,0,
tahir_khan099,Tahir khan,True,571,306,0,1.87,طاہر,4,False,False,0,0,False,,False,3,
akhassan12,🤍💙علي حسن💙🤍,True,244,259,0,0.94,,0,False,False,0,0,False,,False,2,
zaid_shaikh078,زید شیخ,False,63,133,0,0.47,"فَصَبْرٌ جَمِيلٌ ☁️
🇵🇸",22,False,False,0,0,True,,False,3,
_ts_asad,Asad Shaikh,True,371,106,9,3.5,"FF Uid:755887683
     Guild:64592454 
.
.
.
 .
.
.
Only 3 🌟
Best friend:-@_ts__atif @_ts_rafey_",95,False,False,0,2,True,,False,0,
saalam_kh46,سالم خان,True,396,425,1,0.93,Im way up i feel blessed,24,False,False,0,0,False,,False,2,
ismaill_shaikhh,Ismail shaikh,False,208,240,0,0.87,"Ashes to ashes, watch me disappear.",35,False,False,0,0,True,,False,0,
khansahab_.45,اسعد🦁,True,438,851,6,0.51,"Bombae📍
Khwaja ji🧡",18,False,False,0,0,True,,False,2,
adiiiiii_dete1811,Aditya☀️,True,521,1717,1,0.3,😀,1,False,False,0,0,True,,False,4,
aman.khaanik,Aman khan,True,355,371,0,0.96,Alhumdhulila❤️😊,15,False,False,0,0,True,,False,0,
aadil.kumshi._,Aadil Kumshi,False,168,579,1,0.29,"I speak fluent sarcasm.
& I yap a bit @yawlpp",45,False,False,0,1,True,,False,0,
tanmayrathodd,Tanmay Rathod,True,204,189,5,1.08,"Bitch, I'm adorable! 🤗",22,False,False,0,0,True,,False,0,
pendharinazneen,Nazneen Pendhari,False,67,98,0,0.68,,0,False,False,0,0,False,,False,0,
lowkeymoin,✯,True,56,219,0,0.26,_𝙵À𝙸𝚂 𝙲𝙴 𝚀𝚄𝙸 𝚃𝙴 𝚂𝙴𝙼𝙱𝙻𝙴 𝙱𝙸𝙴𝙽🧋,28,False,False,0,0,True,,False,0,
ahmed_qureshi1492,Ahmed Qureshi,True,55,184,0,0.3,,0,False,False,0,0,False,,False,4,
ibrahim__maniyar,||.إبراهيم.||,True,321,313,0,1.03,"20⚡
Let your dreams be your wings.💸",35,False,False,0,0,True,,False,0,
jamil_kht,جميل....,True,273,491,0,0.56,...,3,False,False,0,0,True,,False,0,
zaid_farooqui_18,Farooqui Zaid...,True,497,305,0,1.63,...,3,False,False,0,0,True,,False,2,
ayub_44_,Ayub,True,39,41,0,0.95,A tragedy that never ends #palestine,36,False,False,1,0,True,,False,2,
hannan_shemle,HRShemle,True,156,145,0,1.08,,0,False,False,0,0,False,,False,0,
ashutoshvinodsingh29,Ashutosh Singh,True,92,201,29,0.46,,0,False,False,0,0,False,,False,2,
shaan_sakharkar.official,Shaan Sakharkar,True,50,39,0,1.28,"🌐 Affiliate Marketing Maverick 💼
🚀Turning Dreams into Reality 💡
📚 Learning
🔹️DM ""interested"" to know more about my work!!",121,False,True,0,0,True,,False,0,
aryanb1511,ARYAN BHANDARI,True,414,192,6,2.16,MUMBAI,6,False,False,0,0,False,,False,4,
_nehalshaikh_15,Shaikh Nehal,True,339,578,9,0.59,"✨""BELIEVE IN WHAT YOU PRAYED FOR""✨",34,False,False,0,0,True,,False,2,
